"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.000490204449998986,0.000667701827386537,0.000311966637941411,4.40192251184348e-05,6.37544267255733e-05,0.000110058207086858,9.44146055606459e-05,7.44555981248063e-05,0.000389930999208216
"2",0.000329992017882519,0.00125502496550875,0.000396392483828027,3.65876454458525e-05,6.29502715585503e-05,8.59193259552488e-05,0.000173958292404266,8.43942430436923e-05,0.000451855295769439
"3",0.000535088227759615,0.000666067698210819,0.000675039106140044,4.40638109157453e-05,7.94819358298358e-05,0.000108375418604476,0.000169682752401997,0.000103418908297058,0.000203165359894415
"4",0.000261460946179093,0.00078127318123034,0.00022800036329448,5.19257830799827e-05,0.000122413555557949,0.208492280665996,0.000450228282203605,0.000100328837388125,0.000610143821782693
"5",0.00040735460015191,0.000976857367670487,0.000512655410957532,7.24122716117347e-05,0.000125920514812062,0.640811464983984,0.000543476680859549,0.000123140410359159,0.000382401830994512
"6",0.000633694690196734,0.000640787144022945,0.000309893969680375,6.70547972416123e-05,8.91952856422297e-05,0.233486641879703,0.000166224369335216,6.25048081531188e-05,0.000282595867283442
"7",0.0004796253952922,0.000386216366769042,0.000273294939052906,0.0003858853732791,8.74226691451108e-05,0.228998667887557,0.000163162589476888,7.53494546293592e-05,0.000242501913908367
"8",0.000349595082722866,0.000415522925690643,0.000235295859436195,8.47899160369777e-05,0.000110622282786098,0.259196588197168,0.00119420079812594,0.000121068198695254,0.000242894583971132
"9",0.000250860956204937,0.000173706889357962,9.8549296032354e-05,5.49177960987593e-05,2.27301700002534e-05,0.498028896091825,0.000110360977210578,5.2908085115443e-05,0.000112900269538711
"10",0.00041583516114743,0.00048343142719492,0.000186297544693457,5.87372804400196e-05,9.37867118563538e-05,0.730250142218107,0.000222689796936013,0.000103905479778379,0.000388597770169643
"11",0.000227587748701269,0.000394369192147111,0.000167850065157527,7.2850441448295e-05,6.59882848854321e-05,0.71749117880232,0.000171314738183973,5.31656657150791e-05,0.000162032846255936
"12",0.000369422443506281,0.000928521034810837,0.000209110028402268,5.38640657922644e-05,6.78771600924875e-05,0.247887976123287,0.000198709267276476,9.33791896276672e-05,0.000755166934906476
"13",0.000265112224844694,0.00025117245105472,0.000105144064552362,2.32849242985541e-05,4.76529205758896e-05,0.123390666973871,8.94902327549294e-05,5.11418129197486e-05,0.000134017165622024
"14",0.000220044985535263,0.000268218422456021,0.000124557493490007,4.32939398954319e-05,3.02660441509317e-05,5.26915859870033e-05,0.000142196889379305,5.30905814348437e-05,0.000211505070666266
"15",0.000196786610597328,0.000230908007974965,5.50698194222768e-05,3.64165046135619e-05,7.26922726139833e-05,0.133475993382653,0.000135800741788999,6.48036381859895e-05,0.000187881459544402
"16",0.000183088256623392,0.000207975754008071,0.000123275294822215,5.44494253176365e-05,9.57315313037115e-05,0.254498429425466,0.000131008443983496,7.88271288168458e-05,0.000221002695420412
"17",0.000260142198570052,0.00153032792596014,0.000136950779340036,4.86619500901121e-05,8.13496617247507e-05,0.000101088210335204,0.000230226324025059,6.64805069106103e-05,0.000242717980581905
"18",0.000227064277943092,0.000576066297285412,0.000107209746296181,0.000119107672348006,7.59156306966798e-05,0.628835652814697,0.000184451530594558,6.87948052959214e-05,0.000187022695338534
"19",0.000254484076349048,0.000452350660266248,0.000113883651609853,5.94235646180905e-05,6.88775051538727e-05,0.464150839417083,0.000137096860019941,5.92108418088321e-05,9.87223101435988e-05
